,precision,recall,f1-score,support
Bean,0.985981308411215,1.0,0.9929411764705882,211.0
Bitter_Gourd,0.9906103286384976,1.0,0.9952830188679245,211.0
Bottle_Gourd,1.0,1.0,1.0,211.0
Broccoli,1.0,0.990521327014218,0.9952380952380953,211.0
Cabbage,1.0,1.0,1.0,211.0
Capsicum,0.9952830188679245,1.0,0.9976359338061466,211.0
Carrot,1.0,0.990521327014218,0.9952380952380953,211.0
Cauliflower,1.0,0.995260663507109,0.997624703087886,211.0
Cucumber,0.9952380952380953,0.990521327014218,0.9928741092636579,211.0
Ketchup,1.0,0.75,0.8571428571428571,4.0
Knorr,1.0,0.75,0.8571428571428571,4.0
Potato,0.9590909090909091,1.0,0.9791183294663574,211.0
Pumpkin,0.995260663507109,0.995260663507109,0.995260663507109,211.0
Quaker አጃ,1.0,0.8333333333333334,0.9090909090909091,6.0
Sunsilk,1.0,1.0,1.0,5.0
Tomato,1.0,0.95260663507109,0.9757281553398058,211.0
UNKNOWN,0.9811320754716981,1.0,0.9904761904761905,52.0
ላይፍ ቦይ ሳሙና,1.0,1.0,1.0,7.0
ማርማራታ,0.9,1.0,0.9473684210526315,9.0
ምሥር,1.0,0.75,0.8571428571428571,4.0
ሩዝ,1.0,1.0,1.0,4.0
ሶፍት,0.8,1.0,0.8888888888888888,4.0
በረኪና,1.0,1.0,1.0,6.0
ቪም,1.0,1.0,1.0,4.0
ኦሞ,1.0,1.0,1.0,4.0
ክክ,0.75,1.0,0.8571428571428571,3.0
ዘይት,1.0,1.0,1.0,4.0
የለውዝ ቅቤ,1.0,1.0,1.0,9.0
የሻይ ቅጠል,0.6666666666666666,1.0,0.8,4.0
የእቃ አጃክስ,1.0,1.0,1.0,4.0
የእጅ ሳሙና,1.0,1.0,1.0,8.0
የገበታ ጨው,1.0,1.0,1.0,4.0
ዲቫ የጨርቅ ሳሙና,0.8888888888888888,1.0,0.9411764705882353,8.0
ዲቶል,1.0,1.0,1.0,5.0
ድፍን ምሥር,1.0,1.0,1.0,3.0
ዶቭ ሳሙና,1.0,0.6,0.75,5.0
ጥምዝምዝ መኮረኒ,1.0,1.0,1.0,4.0
ፈሳሽ የልብስ ሳሙና,1.0,1.0,1.0,3.0
ፓስታ,1.0,1.0,1.0,4.0
macro avg,0.972003896276436,0.9640519301656741,0.9633978099731783,2713.0
weighted avg,0.991808189463453,0.9911537043862882,0.9910993566039296,2713.0
